date,symbol,market_cap
2011-04-30,NAVA,
2011-04-30,TATAPOWER,
2011-04-30,ADANIPORTS,
2011-04-30,APOLLOHOSP,
2011-04-30,BHEL,
2011-04-30,HINDCOPPER,
2011-04-30,JUBLFOOD,
2011-04-30,INDIACEM,
2011-04-30,JKTYRE,
2011-04-30,M&MFIN,
2011-04-30,J&KBANK,
2011-04-30,INDIANB,
2011-04-30,TORNTPOWER,
2011-04-30,PRESTIGE,
2011-04-30,RPOWER,
2011-04-30,CHOLAFIN,
2011-04-30,OIL,
2011-04-30,ZEEL,
2011-04-30,CIEINDIA,
2011-04-30,BEL,
2011-04-30,ACC,
2011-04-30,TATACONSUM,
2011-04-30,KAJARIACER,
2011-04-30,ACE,
2011-04-30,SCI,
2011-04-30,FACT,
2011-04-30,JPPOWER,
2011-04-30,POWERGRID,
2011-04-30,TRIDENT,
2011-04-30,KARURVYSYA,
2011-04-30,DABUR,
2011-04-30,COFORGE,
2011-04-30,EXIDEIND,
2011-04-30,EIHOTEL,
2011-04-30,PHOENIXLTD,
2011-04-30,ITI,
2011-04-30,SRF,
2011-04-30,JSL,
2011-04-30,BHARATFORG,
2011-04-30,CENTRALBK,
2011-04-30,HBLENGINE,
2011-04-30,INDUSINDBK,
2011-04-30,GLENMARK,
2011-04-30,NATCOPHARM,
2011-04-30,MARUTI,
2011-04-30,ESCORTS,
2011-04-30,ARE&M,
2011-04-30,DEEPAKNTR,
2011-04-30,VEDL,
2011-04-30,CANFINHOME,
2011-04-30,MMTC,
2011-04-30,IOC,
2011-04-30,BAJAJ-AUTO,
2011-04-30,CANBK,
2011-04-30,IOB,
2011-04-30,LICHSGFIN,
2011-04-30,ZYDUSLIFE,
2011-04-30,NATIONALUM,
2011-04-30,DLF,
2011-04-30,BAJFINANCE,
2011-04-30,OBEROIRLTY,
2011-04-30,HINDUNILVR,
2011-04-30,SHRIRAMFIN,
2011-04-30,AXISBANK,
2011-04-30,COLPAL,
2011-04-30,MANAPPURAM,
2011-04-30,GAIL,
2011-04-30,AARTIIND,
2011-04-30,SONATSOFTW,
2011-04-30,ELECON,
2011-04-30,CUMMINSIND,
2011-04-30,CHAMBLFERT,
2011-04-30,EMAMILTD,
2011-04-30,CHENNPETRO,
2011-04-30,IDBI,
2011-04-30,POONAWALLA,
2011-04-30,PNB,
2011-04-30,CEATLTD,
2011-04-30,NLCINDIA,
2011-04-30,ASHOKLEY,
2011-04-30,TATASTEEL,
2011-04-30,UCOBANK,
2011-04-30,INDHOTEL,
2011-04-30,BRITANNIA,
2011-04-30,SUNTV,
2011-04-30,VOLTAS,
2011-04-30,AMBUJACEM,
2011-04-30,M&M,
2011-04-30,CESC,
2011-04-30,GMDCLTD,
2011-04-30,NMDC,
2011-04-30,ITC,
2011-04-30,GODREJIND,
2011-04-30,BANKINDIA,
2011-04-30,BSOFT,
2011-04-30,MFSL,
2011-04-30,MPHASIS,
2011-04-30,LTFOODS,
2011-04-30,UBL,
2011-04-30,UNIONBANK,
2011-04-30,SUZLON,
2011-04-30,CEMPRO,
2011-04-30,CYIENT,
2011-04-30,GABRIEL,
2011-04-30,WELSPUNLIV,
2011-04-30,AJANTPHARM,
2011-04-30,HDFCBANK,
2011-04-30,IIFL,
2011-04-30,MAHABANK,
2011-04-30,BALRAMCHIN,
2011-04-30,HINDZINC,
2011-04-30,BPCL,
2011-04-30,ASIANPAINT,
2011-04-30,IFCI,
2011-04-30,USHAMART,
2011-04-30,DRREDDY,
2011-04-30,PVRINOX,
2011-04-30,NTPC,
2011-04-30,TITAGARH,
2011-04-30,DIVISLAB,
2011-04-30,FEDERALBNK,
2011-04-30,JMFINANCIL,
2011-04-30,TATAELXSI,
2011-04-30,RECLTD,
2011-04-30,NHPC,
2011-04-30,BANKBARODA,
2011-04-30,TITAN,
2011-04-30,UPL,
2011-04-30,PIDILITIND,
2011-04-30,BRIGADE,
2011-04-30,BALKRISIND,
2011-04-30,TVSMOTOR,
2011-04-30,TCS,
2011-04-30,IDEA,
2011-04-30,JSWSTEEL,
2011-04-30,SAIL,
2011-04-30,CGPOWER,
2011-04-30,ABB,
2011-04-30,SBIN,
2011-04-30,CCL,
2011-04-30,CUB,
2011-04-30,PFOCUS,
2011-04-30,REDINGTON,
2011-04-30,GODREJPROP,
2011-04-30,INFY,
2011-04-30,TECHM,
2011-04-30,ONGC,
2011-04-30,HSCL,
2011-04-30,NAUKRI,
2011-04-30,BATAINDIA,
2011-04-30,MRPL,
2011-04-30,SOBHA,
2011-04-30,GMRAIRPORT,
2011-04-30,GRASIM,
2011-04-30,COALINDIA,
2011-04-30,TATACHEM,
2011-04-30,JUBLPHARMA,
2011-04-30,TTML,
2011-04-30,HEG,
2011-04-30,EIDPARRY,
2011-04-30,MARICO,
2011-04-30,ENGINERSIN,
2011-04-30,HINDPETRO,
2011-04-30,FINCABLES,
2011-04-30,PCBL,
2011-04-30,BAJAJFINSV,
2011-04-30,COROMANDEL,
2011-04-30,AEGISLOG,
2011-04-30,SIEMENS,
2011-04-30,ANANTRAJ,
2011-04-30,JINDALSAW,
2011-04-30,EICHERMOT,
2011-04-30,ULTRACEMCO,
2011-04-30,KPIL,
2011-04-30,FSL,
2011-04-30,PERSISTENT,
2011-04-30,WIPRO,
2011-04-30,RADICO,
2011-04-30,PETRONET,
2011-04-30,WELCORP,
